file name,C result,python result,C run time,python run time
input2, , ,0.0065653324127197266,0.5581045150756836
input3, , ,0.004332065582275391,0.5497407913208008
input4, , ,0.004253387451171875,0.551677942276001
input5, , ,0.00555109977722168,0.5584821701049805
input6, , ,0.0043141841888427734,0.5627703666687012
input7, , ,0.004447221755981445,0.560309886932373
input8, , ,0.004220724105834961,0.5661554336547852
input9, , ,0.004259347915649414,0.5605311393737793
input10, , ,0.004223346710205078,0.5710537433624268
input11, , ,0.00420832633972168,0.56632399559021
input12, , ,0.00429844856262207,0.5934062004089355
input13, , ,0.004393339157104492,0.566561222076416
input14, , ,0.0049974918365478516,0.566300630569458
input15, , ,0.004554033279418945,0.5885462760925293
input16, , ,0.004956483840942383,0.5465652942657471
input17, , ,0.0051844120025634766,0.5786421298980713
input18, , ,0.004881143569946289,0.5651566982269287
input19, , ,0.0046575069427490234,0.5610055923461914
input20, , ,0.0050046443939208984,0.5785105228424072
input21, , ,0.004917621612548828,0.5639650821685791
input22, , ,0.004679203033447266,0.5862545967102051
input23, , ,0.004868030548095703,0.5611636638641357
input24, , ,0.0049304962158203125,0.5608353614807129
input25, , ,0.0049245357513427734,0.5549595355987549
input26, , ,0.004907131195068359,0.5689418315887451
input27, , ,0.005105495452880859,0.5616858005523682
input28, , ,0.00483250617980957,0.5556941032409668
input29, , ,0.0052165985107421875,0.5769448280334473
input30, , ,0.005028963088989258,0.5572254657745361
input31, , ,0.005614519119262695,0.5957539081573486
input32, , ,0.005249738693237305,0.5850839614868164
input33, , ,0.005106449127197266,0.5923540592193604
input34, , ,0.005056142807006836,0.559593677520752
input35, , ,0.0052225589752197266,0.5742759704589844
input36, , ,0.0056421756744384766,0.6022360324859619
input37, , ,0.005943775177001953,0.5731475353240967
input38, , ,0.005865573883056641,0.5703620910644531
input39, , ,0.005600690841674805,0.563206672668457
input40, , ,0.00537872314453125,0.5662150382995605
input41, , ,0.005738258361816406,0.5867385864257812
input42, , ,0.005226612091064453,0.5874419212341309
input43, , ,0.0057849884033203125,0.5608401298522949
input44, , ,0.00729680061340332,0.5928094387054443
input45, , ,0.006231784820556641,0.6065347194671631
input46, , ,0.006053447723388672,0.563582181930542
input47, , ,0.006209373474121094,0.5809719562530518
input48, , ,0.007272005081176758,0.6680295467376709
input49, , ,0.007101297378540039,0.7153358459472656
input50, , ,0.008147478103637695,0.6971595287322998
