file name,C result,python result,C run time,python run time
input2, , ,0.007792472839355469,0.6082010269165039
input3, , ,0.005257368087768555,0.5541980266571045
input4, , ,0.005424022674560547,0.567683219909668
input5, , ,0.005072593688964844,0.5595316886901855
input6, , ,0.0051822662353515625,0.5531966686248779
input7, , ,0.005327463150024414,0.5638561248779297
input8, , ,0.0051724910736083984,0.5613589286804199
input9, , ,0.005197048187255859,0.5549001693725586
input10, , ,0.005001068115234375,0.5614092350006104
input11, , ,0.005157470703125,0.5547101497650146
input12, , ,0.005584716796875,0.5552113056182861
input13, , ,0.00534510612487793,0.5548479557037354
input14, , ,0.005326747894287109,0.5737996101379395
input15, , ,0.0060977935791015625,0.5552091598510742
input16, , ,0.006290912628173828,0.557244062423706
input17, , ,0.005273342132568359,0.5569510459899902
input18, , ,0.005725383758544922,0.576573371887207
input19, , ,0.005762815475463867,0.5770323276519775
input20, , ,0.005663871765136719,0.5648729801177979
input21, , ,0.0058438777923583984,0.5788946151733398
input22, , ,0.00605010986328125,0.556948184967041
input23, , ,0.005372047424316406,0.5575129985809326
input24, , ,0.005546092987060547,0.5439798831939697
input25, , ,0.005536556243896484,0.5514421463012695
input26, , ,0.0055086612701416016,0.5751399993896484
input27, , ,0.005974292755126953,0.557929515838623
input28, , ,0.005698680877685547,0.5585181713104248
input29, , ,0.005769252777099609,0.557563304901123
input30, , ,0.006068229675292969,0.5700211524963379
input31, , ,0.005727529525756836,0.5656499862670898
input32, , ,0.005969524383544922,0.5498037338256836
input33, , ,0.0058596134185791016,0.5480072498321533
input34, , ,0.005830526351928711,0.5513927936553955
input35, , ,0.005988121032714844,0.5573089122772217
input36, , ,0.0063593387603759766,0.6670820713043213
input37, , ,0.005892515182495117,0.551903486251831
input38, , ,0.005936145782470703,0.5506753921508789
input39, , ,0.005944967269897461,0.560805082321167
input40, , ,0.0060977935791015625,0.5659024715423584
input41, , ,0.0063037872314453125,0.5538039207458496
input42, , ,0.005990743637084961,0.5574314594268799
input43, , ,0.0061359405517578125,0.55108642578125
input44, , ,0.00599217414855957,0.5542213916778564
input45, , ,0.006412982940673828,0.5788869857788086
input46, , ,0.008957386016845703,0.5512025356292725
input47, , ,0.006455421447753906,0.5582363605499268
input48, , ,0.006804943084716797,0.5777487754821777
input49, , ,0.00642704963684082,0.5595149993896484
input50, , ,0.006726980209350586,0.5646209716796875
