file name,C result,python result,C run time,python run time
input2, , ,0.00482630729675293,0.5525913238525391
input3, , ,0.004843711853027344,0.5562310218811035
input4, , ,0.004874706268310547,0.5519125461578369
input5, , ,0.006004810333251953,0.5563967227935791
input6, , ,0.00473332405090332,0.5541975498199463
input7, , ,0.005031108856201172,0.5409107208251953
input8, , ,0.005674839019775391,0.5610103607177734
input9, , ,0.004920005798339844,0.5586140155792236
input10, , ,0.005791664123535156,0.5540120601654053
input11, , ,0.004906654357910156,0.5568225383758545
input12, , ,0.004991054534912109,0.5573515892028809
input13, , ,0.004851579666137695,0.552025318145752
input14, , ,0.005008697509765625,0.5858790874481201
input15, , ,0.00494074821472168,0.5587005615234375
input16, , ,0.004952669143676758,0.5480821132659912
input17, , ,0.005467891693115234,0.5538928508758545
input18, , ,0.005150556564331055,0.5533485412597656
input19, , ,0.005810260772705078,0.5568792819976807
input20, , ,0.0066034793853759766,0.5524585247039795
input21, , ,0.005216121673583984,0.555811882019043
input22, , ,0.005337953567504883,0.550992488861084
input23, , ,0.005184650421142578,0.5518038272857666
input24, , ,0.005263566970825195,0.5563788414001465
input25, , ,0.005305767059326172,0.5579543113708496
input26, , ,0.005120754241943359,0.5601701736450195
input27, , ,0.005583286285400391,0.5569725036621094
input28, , ,0.0067255496978759766,0.5575554370880127
input29, , ,0.0054705142974853516,0.5498652458190918
input30, , ,0.005313873291015625,0.5602545738220215
input31, , ,0.0055620670318603516,0.5574567317962646
input32, , ,0.005825042724609375,0.5518803596496582
input33, , ,0.005521297454833984,0.5549283027648926
input34, , ,0.0053632259368896484,0.5554211139678955
input35, , ,0.00540924072265625,0.801663875579834
input36, , ,0.005789518356323242,0.5557143688201904
input37, , ,0.0054280757904052734,0.5595071315765381
input38, , ,0.005839824676513672,0.5513722896575928
input39, , ,0.005820035934448242,0.5603349208831787
input40, , ,0.005609035491943359,0.5560288429260254
input41, , ,0.0058460235595703125,0.5557849407196045
input42, , ,0.005652427673339844,0.5568110942840576
input43, , ,0.0058133602142333984,0.5598413944244385
input44, , ,0.006281614303588867,0.5528731346130371
input45, , ,0.006117820739746094,0.5624494552612305
input46, , ,0.006314754486083984,0.5528099536895752
input47, , ,0.006570577621459961,0.5411057472229004
input48, , ,0.006367683410644531,0.5631148815155029
input49, , ,0.006524085998535156,0.5522184371948242
input50, , ,0.00645899772644043,0.5557515621185303
