file name,C result,python result,C run time,python run time
input2, , ,0.005778074264526367,0.5487375259399414
input3, , ,0.005113124847412109,0.5677435398101807
input4, , ,0.004624128341674805,0.5554745197296143
input5, , ,0.004802227020263672,0.5563874244689941
input6, , ,0.005051851272583008,0.5569956302642822
input7, , ,0.005045890808105469,0.5540721416473389
input8, , ,0.005079507827758789,0.5445544719696045
input9, , ,0.004907846450805664,0.5573296546936035
input10, , ,0.005004405975341797,0.5541243553161621
input11, , ,0.004878520965576172,0.56014084815979
input12, , ,0.005722761154174805,0.5775282382965088
input13, , ,0.0048198699951171875,0.5601527690887451
input14, , ,0.004952907562255859,0.5504803657531738
input15, , ,0.004873991012573242,0.5498638153076172
input16, , ,0.004990100860595703,0.5509927272796631
input17, , ,0.004910945892333984,0.5452260971069336
input18, , ,0.005048274993896484,0.5575525760650635
input19, , ,0.00510406494140625,0.573861837387085
input20, , ,0.006587505340576172,0.5496201515197754
input21, , ,0.005522966384887695,0.5635449886322021
input22, , ,0.0052564144134521484,0.5512263774871826
input23, , ,0.00507044792175293,0.5569009780883789
input24, , ,0.005341768264770508,0.5500955581665039
input25, , ,0.005171298980712891,0.54974365234375
input26, , ,0.005413532257080078,0.5568046569824219
input27, , ,0.005324363708496094,0.5513887405395508
input28, , ,0.005280733108520508,0.5545859336853027
input29, , ,0.005421638488769531,0.5519695281982422
input30, , ,0.005357980728149414,0.5508484840393066
input31, , ,0.005406618118286133,0.5551187992095947
input32, , ,0.005293846130371094,0.5500631332397461
input33, , ,0.005486726760864258,0.5699186325073242
input34, , ,0.005228757858276367,0.5563371181488037
input35, , ,0.007873058319091797,0.6435585021972656
input36, , ,0.005450010299682617,0.5995302200317383
input37, , ,0.005643367767333984,0.5596997737884521
input38, , ,0.005430936813354492,0.556936502456665
input39, , ,0.005338430404663086,0.5518720149993896
input40, , ,0.005412101745605469,0.5564672946929932
input41, , ,0.005732297897338867,0.552635908126831
input42, , ,0.005545139312744141,0.5509817600250244
input43, , ,0.005423784255981445,0.5870709419250488
input44, , ,0.005810260772705078,0.5505521297454834
input45, , ,0.006231069564819336,0.5699048042297363
input46, , ,0.0058400630950927734,0.5559902191162109
input47, , ,0.006112337112426758,0.5588326454162598
input48, , ,0.005707502365112305,0.5678439140319824
input49, , ,0.005898952484130859,0.5819046497344971
input50, , ,0.006252288818359375,0.5704140663146973
