file name,C result,python result,C run time,python run time
matrix2, , ,0.0058858394622802734,0.5544028282165527
matrix3, , ,0.0044345855712890625,0.5623574256896973
matrix4, , ,0.00440216064453125,0.5652730464935303
matrix5, , ,0.0045011043548583984,0.5423400402069092
matrix6, , ,0.004486083984375,0.568030595779419
matrix7, , ,0.004660844802856445,0.5542969703674316
matrix8, , ,0.004494667053222656,0.5655486583709717
matrix9, , ,0.0046961307525634766,0.5622603893280029
matrix10, , ,0.004506111145019531,0.5605435371398926
matrix11, , ,0.004681110382080078,0.5552835464477539
matrix12, , ,0.004784822463989258,0.5627217292785645
matrix13, , ,0.004984617233276367,0.564272403717041
matrix14, , ,0.004932403564453125,0.5566837787628174
matrix15, , ,0.004789829254150391,0.5609462261199951
matrix16, , ,0.004964590072631836,0.5638821125030518
matrix17, , ,0.005953073501586914,0.5635702610015869
matrix18, , ,0.0048542022705078125,0.5557851791381836
matrix19, , ,0.005466938018798828,0.5526504516601562
matrix20, , ,0.0051538944244384766,0.5577819347381592
matrix21, , ,0.0052089691162109375,0.5630109310150146
matrix22, , ,0.005185604095458984,0.561486005783081
matrix23, , ,0.00503993034362793,0.5622012615203857
matrix24, , ,0.005277395248413086,0.559410572052002
matrix25, , ,0.0052831172943115234,0.5633525848388672
matrix26, , ,0.00535893440246582,0.5555875301361084
matrix27, , ,0.005547761917114258,0.5751841068267822
matrix28, , ,0.005662441253662109,0.5614058971405029
matrix29, , ,0.005501747131347656,0.5652620792388916
matrix30, , ,0.00548553466796875,0.5593924522399902
matrix31, , ,0.005839109420776367,0.5588626861572266
matrix32, , ,0.00581812858581543,0.5633203983306885
matrix33, , ,0.006104469299316406,0.5620653629302979
matrix34, , ,0.005990743637084961,0.5567355155944824
matrix35, , ,0.007098197937011719,0.5564064979553223
matrix36, , ,0.0060138702392578125,0.5646319389343262
matrix37, , ,0.006375312805175781,0.5616655349731445
matrix38, , ,0.0060422420501708984,0.5668973922729492
matrix39, , ,0.0064105987548828125,0.5500097274780273
matrix40, , ,0.006327629089355469,0.5663819313049316
matrix41, , ,0.006541252136230469,0.5605595111846924
matrix42, , ,0.007002115249633789,0.5632510185241699
matrix43, , ,0.0067691802978515625,0.5605003833770752
matrix44, , ,0.006536245346069336,0.5669198036193848
matrix45, , ,0.0073566436767578125,0.564826488494873
matrix46, , ,0.0070896148681640625,0.5727307796478271
matrix47, , ,0.007150173187255859,0.5585722923278809
matrix48, , ,0.0072939395904541016,0.5669102668762207
matrix49, , ,0.007204532623291016,0.5640466213226318
matrix50, , ,0.0072171688079833984,0.5652034282684326
